basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,vehcile_model
0,0,0,0,0,0,,Mercedes Actros 2003
0.55,430.05,8,33.88,37557,20767.50506,,Volvo FH12 2011
0.66,295.21,8,31.75,22877,15193.34036,,Volvo FH12 2012
0.46,49.37,2,49,7261,3365.945694,,Volvo FH12 2000
0.89,341.15,3,67.33,19690,17562.24379,,Volvo FH12 2007
0,0,0,0,0,0,,Volvo FH12 2006
0,0,0,0,0,0,,Volvo FH12 2012
0,0,0,0,0,0,,Volvo FH12 2000
0.59,291.35,9,44.22,32169,19076.79146,,Volvo FH 2000
0,0,0,0,0,0,,Volvo fh12
0.17,59.18,11,14.91,20670,3472.084722,,Volvo Fh12 2011
0.74,408.1,16,13,25680,19069.94904,,Volvo FH12 2007
0.12,68.23,9,11.89,33811,4004.127831,,"Volvo fh13, 2010"
0.37,16.2,4,20,4027,1496.93666,,"Volvo Fh13, 2010"
0.63,438.97,10,31,38312,24050.16538,," vfh12, 2015"
0,1.97,8,11.12,23004,6.032427606,,"Vfh12, 2015"
0.59,406.66,7,34,33513,19747.89879,,"VFh12, 2015"
0.15,62.37,9,16.44,23445,3484.920401,,"Vfh12, 2015"
0.59,440.46,6,52,38678,22964.33034,,"Vfh12, 2015"
0.5,367.26,7,27,34446,17310.79545,,"volvo fh12, 2015"
0.56,614.48,12,25.5,49611,27634.97802,,"Vfh 12, 2015"
1.02,919.2,14,27,41362,42023.01106,,"Volvo fh12, 2005"
0,0,0,0,52,0,,"Volvo fh12, 2005"
0,0,0,0,1545,0,,2006 volvo fh12
0.71,406.38,11,28.27,27997,19867.33241,,2006 Volvo fh12 
0,0,0,0,0,0,,"VOLVO FH12, 2002"
0.22,71.47,24,11.33,22288,4794.173308,,"Volvo fh12, 2003"
0.43,337.19,11,31.64,35531,15130.56143,,"volvo fh12, 2006"
0.48,439.38,9,30.56,50967,24328.13873,,Volvo FH12 2012
0,0,0,0,552,0,, Volvo Fh 2008 
0.83,419.65,6,41.33,27333,22603.38272,,Volvo FH 2007
0,0,0,0,0,0,,Volvo FH 2008
0.8,486.21,13,29.77,32614,25986.34889,,Volvo FH 2007
0.49,61.18,6,25.83,12445,6105.034623,,VOLVO FH 2008
0,2.34,1,11,3892,0,,Volvo FH 2006
0,0,0,0,6510,0,,Volvo FH 2010
0,0.2,1,6,7427,0,,Volvo FH 2008
0.22,57.8,7,21.14,15629,3474.232686,,Volvo FH 2007
0,0,0,0,0,0,,VOLVO FH 2009
0.85,439.56,9,31.44,28612,24438.74931,,VOLVO FH 2009
0,0,0,0,0,0,,8.62476E+14
0,2.85,2,15,31959,0,,8.62476E+14
0.61,286.15,13,31,25395,15540.27966,,8.62476E+14
0.86,530.61,5,55.4,31766,27194.13503,,Volvo FH 2008
0,0,0,0,0,0,,Volvo FH 2008
0.85,400.16,3,59,23117,19627.9536,,Volvo FH12 2008
0.83,530.79,9,40.22,34682,28637.52167,,Volvo FH12 2007
0,6.01,5,8.4,12832,0,,Volvo FH12 2007
0,2.15,1,11,5724,0,,"Volvo fh12, 2006"
0.67,796.2,15,26,56881,38306.45169,,"Volvo fh, 2006"
0,0,0,0,0,0,,"Volvo fh, 2008"
0.73,83.94,2,48.5,8189,6010.907399,,38287 dxb
0.97,747,12,44.83,39131,38045.49819,,Volvo FH480 2008
0.95,643.82,12,27.25,34394,32682.22569,,Volvo FH12 2007
0.95,522.84,4,66,29146,27797.57065,,Volvo FH12 2007
0.45,307.06,10,16.8,42034,18764.70568,,Volvo FH12 2011
0,0,0,0,0,0,,Volvo FH12 2006
0,2.19,2,8.5,4387,0,,2011 Volvo fh
0,2.1,7,3,20036,0,,2007 VOLVO FH 
0.86,437.78,8,44,26796,23071.36775,,3.50424E+14
0.83,529.93,10,39.9,34874,28808.72509,,3.50424E+14
0.91,298.17,15,21.8,17062,15483.07737,,3.57073E+14
0,0,0,0,3766,0,,3.50424E+14
0.63,566.37,15,34.87,46673,29321.47739,,3.50424E+14
0.52,368.12,14,29.71,32280,16748.79157,,Volvo FH12 2007
0.83,735.62,14,27,44935,37430.17177,,2007 Volvo fh12
0.57,625.75,15,35,56224,32093.69098,,2013 volvo fh
0.82,953.15,17,28.76,56510,46525.28291,,2010 Volvo fh
0.6,463.06,13,51,39192,23689.69543,,2013 Volvo fh12
0.2,69.12,5,37.8,17112,3348.878859,,3.51742E+14
0.81,415.7,5,54.4,27890,22565.67836,,3.51742E+14
0,446.45,11,25.36,0,23711.26876,,3.51742E+14
0.22,61.29,6,39.83,15251,3399.507731,,3.51742E+14
0,2.11,2,11,11550,0,,3.51742E+14
0,2.45,1,13,5374,0,,3.51742E+14
0,1.25,1,18,2444,0,,3.51742E+14
0.54,369.23,8,41.25,34572,18636.5777,,3.51742E+14
0.1,27.33,9,11.22,14160,1449.956287,,3.51742E+14
0.32,24.34,3,21.33,5348,1717.110821,,Volvo FH12 2007
0.88,463.01,3,65.67,28549,25242.85742,,Volvo FH12 2008
0,2.03,3,7.33,50302,0,,3.59633E+14
0.98,440.23,8,34.62,25495,24875.67404,,3.59633E+14
0.17,63.14,12,20.5,22784,3769.946508,,3.54017E+14
0.29,66.33,9,248.44,2735,804.4134237,,Reefer Truck 502
0.31,82.16,1,638,1517,463.5758047,,8.6354E+14
0.94,354.83,11,27.73,18290,17119.3381,,addtional
0.02,27.9,14,10.86,20297,416.85849,,Volvo FH12 2010
0.64,430.84,12,34.08,33496,21514.18096,,8.62476E+14
0,0.03,1,0,7619,0,,8.62476E+14
0.67,442.7,14,27.64,34511,23293.63661,,8.62476E+14
0.84,439.42,7,45,27135,22871.33153,,8.62476E+14
0,0,0,0,5288,0,,2011 Volvo fh
0.61,452.82,9,39.11,43174,26146.52144,,2010 Volvo fh12
1.07,442.16,10,36.7,22042,23490.35232,,2006 Volvofh12 
0.37,70.18,6,31.33,9408,3478.960968,,2010 Volvo fh
0.45,366.99,4,29.25,41783,18818.83576,,2010 Volvo fh
1.12,640.89,8,40.38,27426,30770.70445,,2012 Volvo fh
0.2,62.81,8,25.88,17744,3514.595992,,2011 Volvo fh
0.53,459.23,19,14.21,42590,22686.9783,,2011 VOLVO FH
0.55,382.12,9,28.11,30915,16919.48606,,2011 VOLVO FH
0,6.45,6,4.5,6039,0,,2011 VOLVO FH
0.96,432.57,4,51.5,24704,23624.01931,,2011 VOLVO FH
0.82,527.8,5,49.4,36305,29724.68875,,2011/ Volvo FH
0.59,613.98,11,19.36,46901,27903.46162,,2011 Volvo fh
0,0,0,0,2294,0,,2011/ Volvo FH
0.83,412.04,6,34,26263,21828.43997,,2010 volvo fh
0.6,585.2,14,21.71,47746,28429.06335,,2011/ Volvo FH
0.56,373.31,14,23.29,37517,20873.31148,,2011 Renault premium
0.4,370.14,13,23.62,44846,18063.70407,,Mercedes actros 2007
0,0,0,0,0,0,,2016 MAN
0,3.79,5,4,4260,0,,2014 MAN
0.73,630.63,7,37.57,45658,33502.65589,,2014 MAN
0,12.81,8,15.75,8050,0,,2016 MAN
0,3.24,5,1.4,6218,0,,2011 Volvo fh
0.14,107.17,18,9.44,41702,5679.661855,,2005 Volvo fh12
0.59,482.68,15,24.93,44413,26096.77979,,2009 Volvo fh
1.37,398.86,5,39.8,14155,19450.24659,,2006 Volvo fh12
0.43,367.22,9,26.89,41318,17961.05723,,2008 M Actros
0,1.91,4,4.25,16154,0,,2010 Volvo fh
0.52,219.07,19,16.32,37155,19323.96795,,2001 Volvo fh12
0.85,411.9,4,42,25605,21873.55722,,2006 Volvo fh12
0.55,365.17,3,29.33,32477,17963.19659,,2011 Volvo fh
0.86,462.98,3,66.33,28962,24955.21931,,2015 VOLVO FH
0.55,246.86,17,23.65,34857,19242.48998,,2003 Volvo FH
0.27,113.81,30,15.1,27586,7509.318084,,2003 Volvo fh12
0.56,308.34,9,36.56,39107,21825.85309,,2004 Volvo fh12
0,0,0,0,0,0,,2012 Volvo fh
0.63,625.98,20,12.2,46989,29485.36719,,2008 Volvo fh12
0.16,2.97,2,17.5,1687,265.6122875,,2015 Volvo fh
0.81,419.18,5,46,27195,21941.79066,,015 Volvo fh
0.83,445.97,11,29.55,29595,24532.38409,,2015 Volvo fh
0,1.86,2,3.5,3595,0,,2015 Volvo fh
0.69,443.77,9,20,32447,22449.44737,,2015 Volvo fh
0.04,13.83,7,22.29,24421,948.0802805,,2015 Volvo fh
0,3.62,9,2.56,47317,0,,2013 Volvo fh
0.21,32.25,7,24.86,11637,2458.137389,,VOLVO FH 2007
0,3.85,10,1.8,42601,0,,2014 Volvo fh
0,6.87,4,12.25,11710,0,,2014 Volvo fh
0.71,443.03,14,26.79,34506,24604.75476,,2014 Volvo fh
0,0,0,0,0,0,,2015 Volvo fh
0.69,330.15,7,31.14,24574,16934.08459,,2015
0.6,305.08,12,22.5,28315,17129.60311,,2015 Volvo fh
0.74,304.43,9,28.11,22780,16871.32843,,2015 Volvo fh
0,0,0,0,0,0,,2015 Volvo fh
0.05,30.17,18,6.5,28499,1340.463792,,2015 Volvo fh
0,0,0,0,2355,0,,2015 Volvo fh
0,0,0,0,3325,0,,2015 Volvo fh
0.92,420.12,6,42,25133,23019.37468,,2015 Volvo fh
0.59,349.48,10,250.7,23718,13883.7847,,Volvo fh
0.79,419.81,6,27.5,28443,22604.47267,,2012 Volvo fh
0.44,205.16,10,18.3,24318,10774.00302,63.9,2013 / Volvo fh
0.62,601.74,11,31.64,61065,37582.90701,192.1,2014 Volvo fh
0.41,372.17,6,35.33,48270,19943.57454,92.31,2012 Volvo fh
0.52,466.68,9,22.56,51573,26644.16749,114.5,2014 Volvo fh
0.52,163.59,7,26.14,19404,10089.35292,53.41,2014 Volvo fh
0.45,238.13,6,32.83,41210,18378.38191,102.7,2012 Volvo fh
0.75,411.26,14,23.07,35707,26702.7622,120.81,2014 Volvo fh
0.63,426.81,11,26,43344,27306.68995,170.78,2004 Volvo fh12
0.79,426.17,9,42,29679,23588.65444,169.4,2008 Volvo fh12
0.55,418.98,11,25.91,47048,25915.94133,160.8,2008/Volvo FH
2.75,159.89,2,55.5,3663,10055.54615,41.6,2014 Volvo fh
0.59,328.91,7,31.71,38011,22245.11484,153.31,2008 Volvo fh12
0.67,339.71,9,27.89,31115,20694.06729,135.32,2014/Volvo FH
0.82,489.48,13,30.46,43584,35787.33997,173.22,2013/ Volvo FH
0.42,254.18,9,24.89,42433,17704.03751,132,2008 Volvo fh12
0,0,0,0,0,0,0,2014 Volvo fh
0.86,486.08,11,39.91,35068,30220.27636,116.1,2014 Volvo fh
0.77,663.46,13,33,52031,40295.30809,210.31,2014/Volvo FH
0.13,157.46,9,14.67,70576,9056.58976,74,2014 Volvo fh
0.61,335.6,14,14.93,32140,19739.22194,135.3,2014/ Volvo FH
0,0,0,0,0,0,0,2004 Volvo fh12
0.47,400.65,10,31.3,56099,26631.63709,168,2008/ Volvo FH
0.53,349.44,11,30.64,41574,21832.4261,118,2014 Volvo fh
0.48,167.09,7,29.86,20529,9832.592408,37.8,2014 Volvo fh
0.39,271.98,12,19.17,46103,17816.31825,123,2014/ Volvo FH
0.4,661.62,13,1344.85,65794,26474.4999,216.2,2012 Volvo fh
0.5,418.08,11,26.18,55407,27870.95493,181.3,2008 Volvo fh
0.63,328.1,12,24.33,35127,21965.50071,126.32,2008  Volvo fh
0.35,124.39,14,11.07,21097,7352.329917,22.8,2014 Volvo fh
0.54,410.95,17,22.53,55912,30088.32663,166.59,2012 Volvo fh
0.67,520.77,13,30.62,48364,32166.54112,173.8,2014 Volvo fh
0.7,513.83,13,33.92,49437,34554.68597,217.21,2012 volvo fh
0.7,671.57,13,36.38,57233,39925.76954,212.5,2010 Volvo fh
0.51,378.05,9,30.89,47638,24137.88843,164.68,2008 Volvo fh12
0.59,291.92,8,29.88,34908,20559.98323,116.91,2007 Volvo fh12
0.49,464.51,12,27.17,61638,30136.87506,105.78,2014 Volvo fh
0.07,23.79,14,6.71,20402,1359.798912,8.41,2014 Volvo fh
0.53,445.05,7,33.43,48651,25790.02511,149.5,2014 Volvo fh
0.69,483.2,9,25.78,43546,30163.78983,144.3,2014 Volvo fh
0.74,685.96,11,38,57804,42875.65311,201.12,2014 Volvo fh
0.76,602.83,20,29.2,61998,47167.4862,194.5,2012 Volvo fh
0.55,382.51,12,24.5,39254,21670.40282,118,2014 Volvo fh
0.99,435.81,10,25.3,28634,28471.04794,202.11,2013 Volvo fh
0.58,434.62,8,25.62,38307,22246.65853,150,2012 Volvo fh
0.79,825.89,8,40.88,56431,44331.41423,300.91,2011 Volvo fh
0.9,165.94,7,46,12553,11339.66371,9.7,"Toyota Avanza, 2020"
0,0,0,0,0,0,0,"Ford transit, 2020"
0,0,0,0,0,0,0,Renault Symbol 2020
0,0,0,0,0,0,0,Toyota Avanza 2020
0,0,0,0,0,0,0,Toyota Rush 2022
0,8.12,2,21,1410,0,0.9,Renault Symbol
0,0,0,0,0,0,0,Toyota Hiace
0.63,69.22,8,29.88,10689,6742.058286,0,Ford Transit 2020
0.52,170.32,20,45.7,21464,11179.34847,0,Unicorn Honda
0,16.07,12,13.33,6681,0,2.6,TOYOTA RUSH 2022
0.75,233.24,14,35.86,22756,17026.71844,21.9,Toyota rush 2022
0.73,236.63,18,32.61,26287,19247.58774,22,Toyota rush 2022
0,0,0,0,0,0,0,Toyota Avanza 2020
0.7,513.34,9,43.33,42642,29848.48689,,Volvo fh
0.8,213.59,6,28.17,20265,16298.93847,,Volvo fh
0,0,0,0,0,0,,2011 Volvo fh
0,0,0,0,868,0,,Volvo fh 2011
0.77,412.51,11,25.91,38995,29836.04011,,2012 volvo fh
0.04,26.04,12,5.58,37444,1330.891243,,2012 volvo fh
0,0,0,0,0,0,,2014 Volvo fh
0.4,143.28,4,32.75,18523,7473.454021,,Volvo FH 12 2008
1,373.62,2,55.5,23936,23995.44262,,2014 Volvo FH
0,25.79,8,5.25,35968,0,,2013 volvo fh12
0.04,18.56,9,6.56,21498,878.6762201,,2013 Volvo fh
0.56,123.81,10,18.3,13843,7814.29053,,2013 Volvo fh
0,0,0,0,0,0,,2013 Volvo fh
0.54,112.6,13,27.15,18217,9764.922524,,2004 Volvo fh12
0.91,231.24,7,28,15144,13834.55864,,2011 Volvo fh
0,0,0,0,40,0,,2008 Volvo fh12
0,0,0,0,1292,0,,2013 Volvo fh
0.78,458.64,11,36.36,37876,29403.24891,,2013 Volvo fh
0,1.17,4,5.25,32290,0,,2013 Volvo fh
0.65,254.43,3,30.67,23032,15082.34048,,Volvo FH 2012
1.67,196.05,5,33.4,8091,13507.022,,2011 Volvo fh
0.48,124.63,10,12.1,16737,7969.821694,,Volvo fh12 2007
0.03,25.89,11,7.55,38531,1199.620093,,2006 volvo fh
0.26,127.15,6,19.33,33220,8628.536201,,2011 Volvo fh
0.66,242.35,6,28,22660,15063.95706,,2012 Volvo fh
0.63,57.39,6,12.67,10988,6947.848136,,2005 Volvo fh12
0.36,241.56,4,51.25,32157,11453.40172,,8.62476E+14
0.05,18.61,12,5.5,18078,842.932659,,2012 volvo FH
0.82,402.07,9,35.56,33648,27583.29069,,2012 / Volvo fh
0.41,146.03,8,16.62,19457,7898.398068,,2012 Volvo fh
0.31,143.69,3,45.33,22448,6847.03183,,2012 Volvo Fh
0.54,61.64,3,17.33,8724,4681.916254,,2011 Volvo fh
0,0,0,0,21024,0,,2012 Volvo fh
1.3,659.7,7,55,30142,39147.119,,2014 Volbo fh
0,0.64,5,0.2,9022,0,,2011 Volvo fh
0.27,56.71,2,41,10906,2980.502534,,2012 Volbo fh
1,290.64,7,19.86,15618,15549.12856,,2004 Volvo fh12
0.73,380.96,6,25.17,34208,25031.35094,,2013  volvo fh12
0.84,472.3,8,30.25,35447,29935.25242,,2012 Volvo fh12
0.69,327.77,3,44.33,24630,16928.57784,,2012 Volvo fh12
0.77,367.89,4,55.5,24083,18448.48522,,2014 Volvo fh
0.83,332.29,8,34.38,27185,22656.31467,,2012 Volvo fh
0.88,538.9,11,27.64,36525,32069.02488,,2012 Volvo fh
0.62,697.78,8,42.12,55825,34404.89558,,2014 Volvo fh
0.12,64.16,9,21.22,32918,4094.019305,,2003 Volvo fh
0.68,265.06,15,32.87,37984,25989.94419,,2007 Volvo fh12
0.07,18.84,11,6.91,15979,1136.343277,,2012 Volvo fh12
0,0,0,0,18697,0,,2014 Volvo fh12
0.46,233.05,19,22,45238,21015.21226,,2013 Volvo Fh
0,0.12,1,5,6582,0,,Volvo fh
0,0,0,0,1466,0,,2011 Volvo fh
0.2,199.88,26,5.46,48678,9777.775511,,2011 Volvo fh
1.09,95.99,2,31.5,5006,5481.367043,,2012 Volvo fh12
0.67,495.6,7,36.29,40039,26718.97914,,2011 Volvo fh
0.47,413.15,4,49.5,47435,22505.41885,,2013 Volvo fh
0.54,297.48,21,24.24,52090,27879.33514,,2004 Volvo fh12
0.85,172.09,2,33,11214,9517.173925,,2011 Volvo fh
0,0,0,0,0,0,,2004 / Volvo fh12
0.73,176.11,9,28.11,19645,14315.72278,,2007 / Volvo fh 12
0,0,0,0,0,0,,2004 Volvo fh12
0.14,119.98,18,5.72,40917,5589.972671,,2012 Volvo fh
0.76,477.4,9,22.56,37037,27992.48343,,2004 Volvo fh12
0.79,181.63,4,34.25,13285,10556.44232,,2007 Volvo fh12
0,0,0,0,1466,0,,2006 Volvo fh12
0,0,0,0,15363,0,,2007 Volvo fh12
0.2,96.31,3,22.67,25628,5143.428721,,2011 Volvo fh
0.7,35.32,1,49,3728,2594.86323,,2008 Volvo fh12
0,0,0,0,469,0,,2012 Volvo fh
0.43,347.29,15,19.87,41860,17847.68823,,2012 Volvo fh
0,1.05,4,3.25,5896,0,,2007 Volvo fh12
0.58,243.52,5,42.8,22215,12838.7639,,2009 Volvo fh
0.75,629.67,14,18.36,47435,35627.30882,,2008 Volvo fh12
0.49,302.01,22,26.95,52718,25660.07571,,2005 Volvo fh12
0.44,488.4,23,16.43,57415,25524.51015,,2006 Volvo fh 440
0.86,208.27,8,25.12,15697,13544.71977,,2005 Volvo fh12
0.61,173.77,4,18,16974,10347.23172,,2008 Volvo fh12
0.76,495.27,8,32,35114,26544.00196,,2009 Volvo fh12
0.38,120.57,9,13.33,19419,7428.41511,,2014 Volvo fh
0.54,35.32,1,51,4648,2493.456829,,2012 volvo fh12
0.33,61.37,3,17.67,14133,4669.996264,,2012 Volvo fh
0.51,210.14,9,14.67,31628,16239.74701,,2013 Volvo fh
0.6,96.5,4,38.25,8682,5184.316388,,2006 Volvo fh12
0.83,328.27,3,45.67,20605,17195.64199,,2005 Volvo fh12
0.84,221.97,8,34,16318,13712.56901,,2005 Volvo fh12
0.52,289.78,8,27.62,26607,13830.99291,,2012 Volvo fh
0.88,327.56,2,71,18703,16442.25685,,2005 Volvo fh
0.26,106.16,6,19.83,20907,5484.909898,,2009Volvo fh
0.29,75.43,6,13,15072,4427.276458,,2008 Volvo fh12
0.65,129.99,31,31.29,17560,11485.47092,,Honda unicorn
0.48,133.91,29,27.48,14635,7008.439887,,H unicorn
0.59,80.83,32,27.75,8920,5218.696307,,H unicorn
0.94,134.41,24,39.83,12853,12087.15239,,H unicorn
0.9,117.9,16,41.62,8890,8015.025889,,H unicorn
0.82,117.23,26,33.27,13016,10633.71541,,H unicorn
0.46,141.67,27,39.74,21653,9997.148807,,H unicorn
0.58,105.21,32,30.34,13171,7698.671008,,H unicorn
0.49,82.88,24,30.42,10262,5025.58337,,H unicorn
0,0,0,0,0,0,,H unicorn
0.28,71.19,42,21.64,19522,5549.673858,,H unicorn
0.98,32.79,4,43,2260,2214.878656,,H unicorn
0.91,157,21,34.95,14649,13353.67897,,H unicorn
0.88,172.46,37,44.51,13037,11507.2133,,H unicorn
0.83,132.34,17,41.35,12799,10638.41174,,H unicorn
0.53,118.36,33,27.42,14810,7778.449523,,H unicorn
0.93,215.63,15,46.87,17158,15965.22749,,H unicorn
0.51,66.29,18,32.28,12141,6134.155124,,H unicorn
0.73,119.13,21,31.43,16096,11756.48751,,H unicorn
0.84,121.32,17,35.41,12793,10777.40454,,Honda unicorn
0.08,59.52,20,17.25,17595,1435.973718,,H unicorn
0.37,99.86,22,28.18,15705,5778.224448,,Honda Unicorn
0.73,109.98,12,34.5,10578,7714.730671,,Honda Unicorn
0.44,95.79,11,22.64,19020,8331.020234,,Volvo FH12 2003
0.4,164.12,9,35.33,29425,11859.87962,,Volvo FH12 2004
0.48,406.6,2,72,40842,19699.27062,,Volvo FH12 2012
0.16,7.05,2,26,2708,421.0835341,,Volvo FH12 2012
0,0,0,0,0,0,,Volvo FH12 2004
0,0,0,0,0,0,,Volvo FH12 2004
0,1.38,4,7.75,13427,0,,Volvo FH12 2006
0,0,0,0,27453,0,,Volvo FH12 2012
0.32,384.2,22,12.32,49995,16024.24901,,Mercedes Actros 2005
0,1.58,3,6,22436,0,,9281
0,0,0,0,0,0,,Volvo FH12 2004
0,1.16,1,14,15244,0,,Volvo FH  2004
0.4,121.65,5,39.6,23486,9315.324999,,Volvo FH12 2004
0.79,18.86,1,32,2687,2121.298303,,Volvo FH12 2004
0.05,55.76,10,17.2,68740,3146.180999,,Volvo FH12 2012
0,0,0,0,0,0,,Mercedes Actros 2003
0.7,422.59,4,61,31189,21972.53388,,Volvo FH12 2011
0,0,0,0,803,0,,Volvo FH12 2012
0,0,0,0,475,0,,Volvo FH12 2000
0.87,362.45,5,33.4,19006,16597.20105,,Volvo FH12 2007
0,0,0,0,0,0,,Volvo FH12 2006
0,0,0,0,0,0,,Volvo FH12 2012
0,0,0,0,206,0,,Volvo FH12 2000
0.44,192.05,10,27.4,30105,13119.67687,,Volvo FH 2000
0,0,0,0,0,0,,Volvo fh12
0.18,222.34,28,12.71,60054,10830.90406,,Volvo Fh12 2011
0,0.27,1,9,4524,0,,Volvo FH12 2007
0.72,472.98,10,38,37340,26760.58592,,"Volvo fh13, 2010"
0.49,189.44,10,21.7,17350,8498.272007,,"Volvo Fh13, 2010"
0.73,515.45,9,49.44,37671,27649.68148,," vfh12, 2015"
0.65,214.21,5,41.8,21175,13750.00869,,"Vfh12, 2015"
0.04,40.23,15,15.53,51740,2052.285714,,"VFh12, 2015"
0.04,40.75,19,12.79,59044,2633.649657,,"Vfh12, 2015"
0.47,377.54,11,33.82,36526,16990.46002,,"Vfh12, 2015"
0.6,506.59,8,25.12,43684,26404.77166,,"volvo fh12, 2015"
0.1,20.06,6,14.5,12174,1208.45757,,"Vfh 12, 2015"
0,4.17,5,7.2,16768,0,,"Volvo fh12, 2005"
0.41,28.38,3,36,4887,1982.760276,,"Volvo fh12, 2005"
0.68,455.98,13,28.77,35524,24307.9312,,2006 volvo fh12
0.05,40.38,16,16.88,51732,2649.784547,,2006 Volvo fh12 
0,0,0,0,0,0,,"VOLVO FH12, 2002"
0.2,78.51,21,13.05,26316,5176.158461,,"Volvo fh12, 2003"
0.38,447.73,21,21.86,57002,21702.096,,"volvo fh12, 2006"
0.24,320.85,16,31.12,63969,15483.72263,,Volvo FH12 2012
0,5.1,4,9,3862,0,, Volvo Fh 2008 
0.27,56.47,10,22.2,16705,4488.136189,,Volvo FH 2007
0,207.1,11,17.91,0,15179.06088,,Volvo FH 2008
0.61,563.49,10,34.9,43799,26557.23425,,Volvo FH 2007
0.54,442.39,12,36.5,42119,22566.20155,,VOLVO FH 2008
0,0,0,0,911,0,,Volvo FH 2006
0.44,376.8,19,20.47,43166,19114.35175,,Volvo FH 2010
0,2.37,1,17,4478,0,,Volvo FH 2008
0.28,323.11,17,41,51891,14641.69894,,Volvo FH 2007
0,0,0,0,0,0,,VOLVO FH 2009
0.86,534.8,8,59.5,33462,28740.39312,,VOLVO FH 2009
0,0,0,0,0,0,,8.62476E+14
0.74,444.52,10,38.9,30867,22953.72334,,8.62476E+14
0,0,0,0,13121,0,,8.62476E+14
0.52,164.64,12,24.25,26208,13508.94037,,Volvo FH 2008
0,0,0,0,0,0,,Volvo FH 2008
0.01,8.81,6,23.67,5260,70.9235313,,Volvo FH12 2008
0.86,345.51,7,54.71,24967,21384.20969,,Volvo FH12 2007
0.28,183.42,21,19.62,34908,9673.110897,,Volvo FH12 2007
0.75,445.56,14,34.14,31344,23602.47899,,"Volvo fh12, 2006"
0,0.83,3,5,2709,0,,"Volvo fh, 2006"
0.66,458.74,15,22,34919,23002.40244,,38287 dxb
0.6,125.63,7,24,18572,11121.15366,,Volvo FH480 2008
1.01,417.78,6,51.5,22019,22338.01789,,Volvo FH12 2007
0,2.68,3,4,4975,0,,Volvo FH12 2007
0.05,34.08,21,5.24,68490,3494.202699,,Volvo FH12 2011
0,0,0,0,157,0,,Volvo FH12 2006
0.6,444.7,14,31.21,39368,23690.80294,,2011 Volvo fh
0.8,704.11,9,43.33,42168,33541.30213,,2007 VOLVO FH 
0.88,702.35,12,37.5,38940,34218.36424,,3.50424E+14
0.75,368.74,7,50.57,28673,21522.4672,,3.50424E+14
0.12,156.69,28,10.5,64159,7513.911983,,3.57073E+14
0.72,408.54,14,21.64,32764,23601.07242,,3.50424E+14
0.51,385.49,20,17.75,35774,18333.1261,,3.50424E+14
0.32,383.62,28,23.57,56663,18054.48621,,Volvo FH12 2007
0,1.08,2,2,17233,0,,2007 Volvo fh12
0,0.19,2,1.5,27590,0,,2013 volvo fh
0,0.87,2,11.5,7821,0,,2010 Volvo fh
0.75,659.42,12,37.58,40762,30457.24018,,2013 Volvo fh12
0.47,366,10,34,37123,17284.35314,,3.51742E+14
0.32,49.63,5,32.8,13444,4266.265656,,3.51742E+14
0,374.25,16,22.56,0,17559.23696,,3.51742E+14
0.16,199.66,16,22.88,53161,8496.279353,,3.51742E+14
0.35,98.37,10,26.7,13931,4844.954846,,3.51742E+14
0.75,409.78,11,29.82,33675,25092.12838,,3.51742E+14
0.51,367.88,10,28,35616,18244.38997,,3.51742E+14
0.34,255.46,17,24.06,38896,13321.19514,,3.51742E+14
0.22,158.19,14,25.07,29622,6607.912777,,3.51742E+14
0.34,90.78,10,31.4,19987,6757.711639,,Volvo FH12 2007
0.61,424.46,8,27,38023,23273.1056,,Volvo FH12 2008
0.2,207.03,9,23.22,43515,8840.495412,,3.59633E+14
0.87,429.89,6,53.17,27915,24285.63083,,3.59633E+14
0.22,222.62,22,8.23,41677,9041.187523,,3.54017E+14
0.01,16.35,4,521.75,2271,27.00690147,,Reefer Truck 502
0.08,77.62,11,125.27,10379,836.188322,,8.6354E+14
0.9,423.65,2,71,23611,21361.01148,,addtional
0.36,148.26,10,23.1,29655,10654.61436,,Volvo FH12 2010
0.37,258.91,23,21.91,36085,13270.7542,,8.62476E+14
0,24.78,8,9.25,22902,0,,8.62476E+14
0.29,264.27,28,10.18,42436,12166.61501,,8.62476E+14
0.79,499.79,11,41.18,31298,24741.60178,,8.62476E+14
0.39,377.04,17,27.35,49037,19136.48252,,2011 Volvo fh
0.18,51.03,6,27.83,22457,3982.901074,,2010 Volvo fh12
0.48,214.25,6,35.17,28153,13626.15238,,2006 Volvofh12 
0.47,365.49,15,37.27,37692,17558.10283,,2010 Volvo fh
0.52,507.45,8,21.75,49810,25893.90928,,2010 Volvo fh
0.05,40.46,17,14.53,46911,2483.36132,,2012 Volvo fh
0.2,201.08,22,7.77,49542,9716.458783,,2011 Volvo fh
0.34,346.84,14,19.29,48030,16152.69657,,2011 VOLVO FH
0.21,223.28,20,9.65,52389,10840.62844,,2011 VOLVO FH
0.55,369.22,13,15.77,38400,20990.24102,,2011 VOLVO FH
0.43,102.66,6,29.5,11683,4972.166765,,2011 VOLVO FH
0,0,0,0,0,0,,2011/ Volvo FH
0.21,36.92,8,8.12,21323,4559.327122,,2011 Volvo fh
0.72,450.45,10,25.9,33682,24338.095,,2011/ Volvo FH
