basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,vehcile_model
0.16,79.14,25,13.56,24713,3950.070389,,2003 Volvo fh12
0,0,0,0,47214,0,,2004 Volvo fh12
0.52,455.76,9,33.11,49864,25827.46894,,2012 Volvo fh
0.44,246.67,7,17.14,28187,12477.3131,70.5,2013 / Volvo fh
0.79,387.66,6,23.83,31911,25140.89322,98,2014 Volvo fh
0,1.05,1,8,434,0,0.91,2012 Volvo fh
0.54,290.74,5,34.6,31177,16728.65952,63.32,2014 Volvo fh
0.63,213.05,7,18.14,19647,12363.57694,55.19,2014 Volvo fh
0,3.08,2,9,1659,0,2.3,2012 Volvo fh
0.48,117.7,4,32.75,15578,7438.669677,43.81,2014 Volvo fh
0.74,345.98,9,32.22,29296,21562.55911,144.82,2004 Volvo fh12
0.41,246.63,23,16.04,42386,17325.44479,106.4,2008 Volvo fh12
0,0,0,0,1081,0,0.9,2008/Volvo FH
0.71,489.27,7,50.86,32711,23335.44506,171.3,2014 Volvo fh
0.31,29.06,2,22,8573,2684.839957,11.88,2008 Volvo fh12
0.43,93,6,19.17,15334,6580.938517,46.81,2014/Volvo FH
0.4,246.59,14,23.43,37604,15184.9108,84.68,2013/ Volvo FH
0.34,158.86,5,19.6,28452,9697.146088,64.4,2008 Volvo fh12
0.84,350.53,4,37.75,29549,24718.28908,0,2014 Volvo fh
0,0.21,1,5,1778,0,0.5,2014 Volvo fh
0.43,151.66,9,25.78,21115,9115.776504,33.59,2014/Volvo FH
0.36,158.05,4,37.25,29199,10377.88699,51.7,2014 Volvo fh
0.62,292.01,11,20.73,34342,21429.29246,122.2,2014/ Volvo FH
0,0,0,0,1651,0,1.91,2004 Volvo fh12
0.74,239.17,5,30.6,22815,16977.97736,74.78,2008/ Volvo FH
0.47,162.65,4,31.5,24790,11685.09745,54.88,2014 Volvo fh
0.09,15.2,6,10.33,12772,1124.665767,6.4,2014 Volvo fh
0.46,117.53,4,34,15266,6986.228734,58.19,2014/ Volvo FH
0.48,218.98,8,109.12,28343,13677.6453,65.3,2012 Volvo fh
0,0,0,0,1904,0,0.5,2008 Volvo fh
0.49,60.92,7,16.29,11461,5563.782015,23.7,2008  Volvo fh
0,0.43,2,4,1358,0,0.2,2014 Volvo fh
0,13.58,8,9.5,9211,0,8.59,2012 Volvo fh
0,0,0,0,0,0,0.1,2014 Volvo fh
0.58,295.09,7,24.71,31988,18598.23774,127.3,2012 volvo fh
0.7,453.94,14,26.36,43059,30308.11773,148.09,2010 Volvo fh
0.43,111.34,4,28.25,19352,8232.266259,60.5,2008 Volvo fh12
0,2.46,4,3.25,2215,0,2.81,2007 Volvo fh12
0.48,65.49,5,12.4,11033,5282.824345,10.72,2014 Volvo fh
0.72,263.51,4,29,29708,21377.4965,59.12,2014 Volvo fh
0.53,289.92,13,23.46,39311,20656.83569,99.82,2014 Volvo fh
0.62,759,14,32.07,61973,38559.78532,216.2,2014 Volvo fh
0.88,500.77,6,32.17,31549,27724.40565,133.5,2014 Volvo fh
0.52,338.5,11,24.27,31390,16300.77257,106.88,2012 Volvo fh
0.75,410.98,6,57.17,31278,23375.00776,124.19,2014 Volvo fh
0.06,14.27,3,25,9797,612.830279,0,2013 Volvo fh
0,0,0,0,1974,0,0,2012 Volvo fh
0.12,45.54,7,13.14,23025,2791.064434,37.9,2011 Volvo fh
0.89,58.63,5,35.8,5505,4899.551025,4.3,"Toyota Avanza, 2020"
0,0,0,0,0,0,0.1,"Ford transit, 2020"
0,0,0,0,0,0,0,Renault Symbol 2020
0.66,248.3,19,31.63,26100,17275.17162,14.8,Toyota Avanza 2020
0.79,274.19,20,28.6,27907,21939.23421,20.6,Toyota Rush 2022
0.84,180.39,18,30.39,18991,15874.6851,16.7,Renault Symbol
0,0,0,0,0,0,0,Toyota Hiace
0.38,77.66,8,32,13638,5159.955184,0,Ford Transit 2020
0.41,109.5,24,37.12,20040,8310.743368,0,Unicorn Honda
0,0,0,0,0,0,0,TOYOTA RUSH 2022
0.65,160.37,22,30.59,23072,15101.95279,14.3,Toyota rush 2022
0.54,303.08,24,31,36671,19794.26786,24.5,Toyota rush 2022
0,37.62,3,15.33,6933,0,0,Toyota Avanza 2020
0.5,249.95,10,35.1,25281,12672.05016,,Volvo fh
0.65,222.5,6,24,19477,12723.17732,,Volvo fh
0.95,417.64,4,48,23056,21995.15437,,2014 Volvo fh
0.82,376.63,6,60.17,24263,19893.30516,,2011 Volvo fh
0.39,252.32,14,11.36,33397,13119.42308,,Volvo fh 2011
0.76,351.68,12,27.42,29695,22519.86783,,2012 volvo fh
0.72,223.06,11,22.45,18759,13479.56972,,2012 volvo fh
0.8,558.39,9,30.56,37446,30105.65394,,2014 Volvo fh
0,0,0,0,0,0,,Volvo FH 12 2008
0.76,35.73,3,31.67,3902,2978.437617,,2014 Volvo FH
0.6,114.17,3,22,10751,6399.051131,,2013 volvo fh12
0.68,225.44,9,22.67,19327,13207.74274,,2013 Volvo fh
0.68,114.58,5,23.6,11474,7856.228319,,2013 Volvo fh
0,0,0,0,0,0,,2013 Volvo fh
0.56,39.82,3,24.67,6822,3793.231312,,2004 Volvo fh12
0.87,310.71,6,37.83,27022,23382.09476,,2011 Volvo fh
0.81,303.03,6,37.33,22489,18241.00038,,2008 Volvo fh12
0.92,374.05,5,36.4,20581,18893.52346,,2013 Volvo fh
0.94,397.57,6,21.67,22643,21346.95435,,2013 Volvo fh
0,0,0,0,6454,0,,2013 Volvo fh
0.33,118.17,18,16.61,29314,9776.420827,,Volvo FH 2012
0.86,223.85,7,23.71,16292,13979.41976,,2011 Volvo fh
0.46,234.35,16,17.19,30287,13981.48724,,Volvo fh12 2007
0.92,174.89,3,34,11097,10186.04899,,2006 volvo fh
0,1.19,1,6,1950,0,,2011 Volvo fh
0.95,415.47,4,56.5,26799,25373.46305,,2012 Volvo fh
0,0,0,0,0,0,,2012 Volvo fh
0.69,585.83,8,24.62,43034,29822.72092,,2005 Volvo fh12
0.79,221.73,7,25.14,17198,13653.78224,,8.62476E+14
0.51,254.77,14,14.79,30054,15188.04151,,2012 volvo FH
0.82,583.29,7,43,34896,28475.4858,,2012 / Volvo fh
0.45,83.09,11,19.09,11100,5026.939055,,2012 Volvo fh
0.55,131.55,7,24.29,14812,8099.285219,,2012 Volvo Fh
0.89,364.01,5,35.6,25542,22851.87668,,2011 Volvo fh
0.59,95.62,7,16.14,11952,7110.922262,,2012 Volvo fh
0.39,254.74,13,14.38,29545,11655.8249,,2014 Volbo fh
0.16,36.48,9,10.22,22302,3461.139317,,2011 Volvo fh
0.83,310.4,7,18.43,25819,21314.66947,,2012 Volbo fh
0,0,0,0,534,0,,2004 Volvo fh12
0.69,227.71,12,15.83,19055,13110.36649,,2013  volvo fh12
0.66,129.45,5,14.2,12295,8154.057762,,2012 Volvo fh12
0.83,453.62,6,43,30399,25127.20578,,2012 Volvo fh12
0,2.57,3,7.67,1334,0,,2014 Volvo fh
0,1.18,1,16,1183,0,,2012 Volvo fh
0.68,446.36,8,26.88,44036,29729.59733,,2012 Volvo fh
1.5,345.49,5,49,12580,18925.94661,,2014 Volvo fh
0.29,157.88,15,25.67,39102,11481.31675,,2003 Volvo fh
0,0,0,0,0,0,,2007 Volvo fh12
0.82,246.51,5,21.6,18181,14889.20804,,2012 Volvo fh12
0,5.64,9,4.67,7008,0,,2014 Volvo fh12
0.45,154.08,15,23.53,28702,12876.83996,,2013 Volvo Fh
0.45,188.37,16,30.31,36279,16198.83561,,Volvo fh
0,1.29,3,5.33,1524,0,,2011 Volvo fh
0.05,29.66,16,4.81,29203,1417.812819,,2011 Volvo fh
0,0,0,0,0,0,,2004 Volvo fh12
0.59,245.6,10,15.3,22318,13274.18211,,2011 Volvo fh
0.2,35.74,6,17.33,15187,2994.501224,,2013 Volvo fh
0.56,182.46,12,25,29865,16614.32472,,2004 Volvo fh12
1,32.16,1,46,2510,2517.180595,,2011 Volvo fh
0.82,90.23,4,30,10414,8580.225851,,2004 / Volvo fh12
0.07,27.03,12,9.5,17276,1199.434335,,2007 / Volvo fh 12
0,0.3,1,3,1763,0,,2004 Volvo fh12
0.8,788.18,12,28.33,48407,38920.47428,,2012 Volvo fh
0,0.07,1,0,1165,0,,2004 Volvo fh12
0.87,377.56,6,57.83,22859,19915.83903,,2007 Volvo fh12
0.46,59.48,6,17.67,10839,5008.891583,,2006 Volvo fh12
0.81,417.97,5,28.2,27573,22376.38092,,2007 Volvo fh12
0,0.99,1,5,1935,0,,2011 Volvo fh
0.86,172.95,3,41.33,12737,11006.0779,,2008 Volvo fh12
0,0.76,3,5.67,2398,0,,2012 Volvo fh
0.74,354.72,7,26.71,27077,19975.73398,,2012 Volvo fh
0.77,268.71,9,20.67,21722,16699.42036,,2007 Volvo fh12
0,0.06,1,1,524,0,,2009 Volvo fh
0.83,180.09,6,21.17,14968,12374.20499,,2008 Volvo fh12
0.73,243.62,1,65,18516,13492.56767,,2005 Volvo fh12
0.4,192.29,13,14.69,26002,10454.95592,,2006 Volvo fh 440
0.89,465.12,6,33.67,29571,26273.48233,,2005 Volvo fh12
0.83,205.95,4,34.25,19107,15882.81974,,2008 Volvo fh12
0,0.67,5,0.8,3826,0,,2009 Volvo fh12
0.78,269.67,10,32.1,23055,17912.63524,,2014 Volvo fh
0,0,0,0,0,0,,2004 volvo fh12
0.91,241.1,4,33.75,15935,14511.52737,,2012 Volvo fh
0.78,630.41,11,37,43396,34039.98899,,2013 Volvo fh
0.8,567.05,18,28.33,38427,30710.79669,,2006 Volvo fh12
0,0,0,0,0,0,,2005 Volvo fh12
0.28,211.91,7,15.29,35465,10047.44196,,2005 Volvo fh12
0.38,252.67,15,18.8,35982,13733.39421,,2012 Volvo fh
0.57,131.84,8,16.25,14166,8088.656687,,2005 Volvo fh
0.58,12.84,3,10.33,2805,1628.870125,,2009Volvo fh
0,0.36,2,2,2431,0,,2008 Volvo fh12
0.7,143.74,47,26.26,19279,13523.75793,,Honda unicorn
0.65,111.57,24,24.79,13605,8847.889385,,H unicorn
0.31,53.64,39,24.1,9374,2916.069596,,H unicorn
0.91,158.13,33,37.06,14834,13513.73735,,H unicorn
0.92,41.76,4,27.75,3580,3289.828763,,H unicorn
0.75,256.28,37,34.65,28627,21413.54454,,H unicorn
0.73,158.55,21,36.95,18572,13560.63958,,H unicorn
0.73,103.99,27,33.33,11389,8300.984307,,H unicorn
0.35,88.99,22,23.5,14576,5089.51233,,H unicorn
0.45,111.36,20,22.95,16231,7250.322426,,H unicorn
0.85,182.43,21,36.67,17556,14965.22453,,H unicorn
0.24,76.42,20,18.15,14838,3623.995016,,H unicorn
0.84,141.09,23,27.43,16302,13661.50021,,H unicorn
0.43,72.2,15,24.27,13903,5988.573026,,H unicorn
0,0,0,0,0,0,,H unicorn
0.29,76.25,26,21.92,11756,3443.481935,,H unicorn
0,0,0,0,0,0,,H unicorn
0.35,82.75,34,28.62,17034,5944.966314,,H unicorn
0.28,47.2,12,22,7486,2131.255623,,H unicorn
0.78,155.14,17,35.35,16780,13069.13175,,Honda unicorn
0.08,118.55,37,18.95,24370,2017.360904,,H unicorn
0.31,16.92,5,21.4,3483,1083.804847,,Honda Unicorn
0.92,255.24,21,40.33,23694,21882.58468,,Honda Unicorn
0.43,450.66,10,34.5,59172,25368.38396,,Volvo FH12 2012
0.37,134.15,16,15.81,26332,9618.840217,,Volvo FH12 2003
0,0,0,0,0,0,,Mercedes Actros 2004
0.37,175.56,11,27.45,34837,12836.04311,,Volvo FH12 2004
0,9.35,9,10.89,16233,0,,Volvo FH12 2012
0.79,712.92,9,38.44,44193,35074.2648,,Volvo FH12 2012
0.56,169.26,14,20.64,22882,12927.22378,,Volvo FH12 2004
0.42,157.81,12,32,24132,10174.07749,,Volvo FH12 2004
0.14,27.68,3,22.33,15047,2113.533193,,Volvo FH12 2006
0.75,430.18,15,72.27,26644,19991.44568,,Volvo FH12 2012
0.65,312.22,15,19.13,27705,18039.01535,,Mercedes Actros 2005
0,0,0,0,0,0,,Volvo FH12 2012
0,0,0,0,0,0,,Mercedes Actros 2004
0.23,17.53,2,29.5,5001,1125.878169,,9281
0.2,134.19,13,23.15,51355,10455.73381,,Volvo FH12 2004
0,0,0,0,0,0,,Volvo FH12 2004
0.48,142.21,19,24.37,26705,12933.00719,,Volvo FH  2004
0,0,0,0,0,0,,Volvo FH12 2004
0,0,0,0,0,0,,Volvo FH12 2004
0,2.4,2,8,5839,0,,Volvo FH12 2012
0.68,386.75,10,33.3,37200,25332.88721,,Mercedes Actros 2003
0.66,411.8,9,37.89,34829,22866.15102,,Volvo FH12 2011
0.6,410.51,13,42.08,31835,18983.65057,,Volvo FH12 2012
0,0,0,0,849,0,,Volvo FH12 2000
0,0,0,0,3569,0,,Volvo FH12 2007
0.44,23.58,3,23.67,5283,2336.428327,,Volvo FH12 2006
0,0,0,0,0,0,,Volvo FH12 1997
0.57,130.01,8,13.5,16558,9468.069021,,Volvo FH12 2012
0,0,0,0,169,0,,Volvo FH12 2000
0,0,0,0,0,0,,Volvo FH12 2000
0.82,298.05,7,35.14,25949,21217.00883,,Volvo FH 2000
0.74,464.52,16,30.56,33966,25184.24463,,Volvo fh12
0,7.79,3,19,3311,0,,Volvo Fh12 2011
0.9,435.18,5,60.6,23172,20943.25755,,Volvo FH12 2007
