basic_km,basic_trips,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,normalized_vehcile_model
361.48,6,37347.0,21464.618026575223,113.29999999998836,2014 Volvo FH
383.04,14,42937.0,25194.570270163116,148.60000000000218,2014 Volvo FH
323.06,4,23140.0,20387.82702573069,89.38000000000466,2008 Volvo FH
274.94,6,24388.0,17552.61973602087,87.38000000000466,2014 Volvo FH
335.5,8,27681.0,13965.303068263876,70.69999999999709,2014 Volvo FH
183.18,4,19154.0,13069.778199639626,86.19000000000233,2014 Volvo FH
230.95,6,33608.0,15235.66973304458,115.0,2012 Volvo FH
80.98,7,14416.0,5261.316655328195,22.69999999999709,2014 Volvo FH
145.69,9,21944.0,9243.639823541327,60.610000000015134,2012 Volvo FH
146.12,5,28068.0,10687.210629117126,45.59999999999855,2014 Volvo FH
363.76,11,38826.0,24448.71506311737,160.79000000000815,2012 Volvo FH
301.33,7,24322.0,18279.65830236687,185.5,2008 Volvo FH12
161.72,4,11559.0,9360.631221172442,55.90000000002328,2007 Volvo FH12
194.25,4,22866.0,14052.981394803712,39.71999999997206,2014 Volvo FH
410.62,13,50150.0,29238.340301702738,94.28000000002794,2014 Volvo FH
205.09,8,27380.0,14809.280653449963,71.5,2014 Volvo FH
308.55,10,34471.0,20945.227195944542,86.59999999999854,2014 Volvo FH
225.31,6,21726.0,14959.333746818713,58.18000000005122,2014 Volvo FH
337.47,8,39503.0,15236.411669193738,96.0,2012 Volvo FH
354.29,9,40265.0,23314.213836717438,119.0,2014 Volvo FH
203.11,7,20257.0,11789.410264520418,89.88000000000466,2011 Volvo FH
152.16,11,18749.0,11942.902755222363,11.299999999999956,2020 Toyota Avanza
238.54,21,25658.0,17210.76988202646,14.099999999999907,Toyota avanza 2020
263.49,21,22236.0,17081.419028382894,19.799999999999955,Toyota rush 2022
396.01,27,37944.0,23900.72433399421,33.0,Toyota rush 2022
504.3,12,37373.0,25449.58401844068,144.3000000000029,2013 Volvo FH
199.3,2,16199.0,14178.08279854667,55.79999999999927,2014 Volvo FH
495.58,6,42933.0,32976.55033339992,130.5,2014 Volvo FH
367.78,5,14482.0,20205.86213810681,60.0,2014 Volvo FH
161.18,8,25065.0,12600.077962517207,63.39999999999782,2012 Volvo FH
307.81,8,31577.0,18443.13130915621,95.59999999997672,2014 Volvo FH
122.19,3,18135.0,9506.640966115796,58.61999999999534,2004 Volvo FH12
147.66,2,18206.0,9565.53225188042,62.89999999999418,2008 Volvo FH12
149.71,4,16075.0,8568.637589534372,53.0,2014 Volvo FH
158.45,6,22538.0,10854.24996321657,70.0,2014 Volvo FH
201.83,6,19391.0,13446.537814198318,57.59000000002561,2014 Volvo FH
923.38,8,51291.0,46576.588702225,218.7199999999721,2014 Volvo FH
494.39,12,51994.0,30743.3487967845,217.70999999999185,2004 Volvo FH12
48.74,9,10181.0,2799.027268974906,20.380000000004657,2014 Volvo FH
425.74,7,49320.0,30612.12912418128,126.0,2014 Volvo FH
343.12,9,37439.0,21440.384257949,128.19000000000233,2014 Volvo FH
169.28,3,1044.0,9072.429105693078,16.10000000000582,2012 Volvo FH
329.36,10,30584.0,19765.48284082936,66.40000000000873,2014 Volvo FH
376.22,11,47358.0,24979.029913196016,127.82000000000698,2012 Volvo FH
